Name,Category,Year,Description_Length,Current_Description_Preview
"St. Boniface","Parish / Settlement Hub","1818","255","Named by Bishop Provencher in honor of an English missionary. It was the historic center of the Red River Settlement and the administrative heart of t"
"St. Charles","Parish / Settlement","Early 1800s","171","The location of "The Passage |" a natural ford for Red River carts. Among the earliest settlers on the river lot farms were the Beauchemin | Hogue | and "
"St. Eustache (formerly Baie St. Paul)","Settlement / Road Allowance","1898","350","Originally part of the Baie St. Paul parish | the mission was destroyed by extensive flooding in 1882. Many residents relocated to North Dakota | but Bi"
"St. François Xavier","Parish / Settlement","1823","136","Established by Cuthbert Grant in 1823 as a buffer for the Red River Settlement. First industrial site in Manitoba for cart construction."
"St. Joseph (Walhalla)","Mission / Settlement","1853","350","This location in North Dakota was where Father Belcourt moved his mission and school in 1853 | thirty miles west of Pembina. It became a significant hu"
"St. Laurent","Settlement","1824","186","Established by Métis forced to leave Pembina when it became American territory. Residents maintained a strong Michif identity despite church and schoo"
"St. Mary’s (Portage la Prairie)","Parish / Settlement","1853","217","Founded in 1853 by Reverend William Cockran and families from Middlechurch and St. Andrews. The settlers moved westward as the good river lots near th"
"St. Norbert","Parish / Settlement","1822","123","Settlement dating back to 1822; cradle of the 1869-70 Resistance. Site of the famous wooden blockade turned back McDougall."
"St. Peter's Mission","Mission","Historic","350","A significant Jesuit mission in Montana that educated Métis students in the late nineteenth century. The mission was part of a broader network of Cath"
"St. Pierre","Settlement / Wintering site","1822","78","An early explorer name for the Souris River and the Little Saskatchewan River."
"St. Vital","Settlement","1824","200","Site of the early Métis river lots for families like the Riels | Naults | and Bruces. It developed along a broad elbow of the Red River south of St. Bon"
"Ste. Madeleine","Settlement (Destroyed)","1870s","205","A traditional community of over twenty families homesteaded since the 1870s. In 1938 | the town was destroyed to create a community pasture. Homes were"
"Ste. Rose du Lac","Settlement","1889","200","Established in 1889 by families from St. Vital looking for haylands to overwinter their animals. Led by the sons of Jean Baptiste Spence and guided by"
"Stony Mountain","Sanctuary / Landmark","1870 (Homestead)","176","Known as "Snake Indian Hills |" it was a high-ground sanctuary used for centuries to escape Red River floods. The "Faith Trail" brought settlers in ox-"
"Stovepipe (Tuyau)","Road Allowance Community","Mid-1800s","219","A road allowance tent community in the Ste. Anne area inhabited by the families of woodcutters working in the forests to the east. The name "Stovepipe"
"Sugar Island (Lake Manitoba)","Traditional Harvesting Site","Ancient","203","A historic maple sugaring site for the Métis of Ebb and Flow and Bacon Ridge. Families like that of "Nonoonse" returned every spring for over forty ye"
"Summerberry Marsh","Traditional Harvesting Area","Historic","202","A massive drainage basin east of The Pas used for muskrat trapping. The traditional livelihood was destroyed by the Grand Rapids Dam | leading to a lon"
"Swan Creek","Settlement","Pre-1871","184","Located north of St. Laurent near Monkman’s Point. It was inhabited primarily by the Monkman family and their relations | who eventually moved to St. L"
"Swan River (and Swan River House)","Fort / Trading Post","1790","203","Established in 1790 by the HBC and Cuthbert Grant. The post’s primary purpose was to trade for birch bark for canoe-making. Many modern Métis families"
"Tanner’s Crossing (Minnedosa)","Settlement / Transportation Hub","1869","178","Founded by John Tanner | a veteran of the American Civil War | who built a ferry and store here on the Carlton Trail. The name was changed to Minnedosa "
"Teton River","Settlement / Wintering site","Historic","350","A Métis wintering and hunting quarter on the South Fork of the Teton River in Montana. Used by plains Métis who had crossed the international boundary"
"The Corner (Li Kwayn)","Road Allowance Community","1939","187","A road allowance community near Binscarth for Ste. Madeleine refugees. Located on a former gravel pit | residents built the St. Hubert Church using log"
"The Pas","Settlement / Rendezvous Site","1741 (Fort)","107","Rendezvous point for Cree and Métis hunters. Site of Devon Mission | established by Rev. Henry Budd in 1840."
"The Passage (Charleswood)","Transportation Landmark","Early 1800s","163","A natural ford for buffalo and Red River carts where the Assiniboine River was shallow. It was used by independent traders to bypass the HBC monopoly "
"Thicket Portage","Settlement (Railway)","1914 (Rail)","175","Located on the Hudson Bay Railway line. Before the rail | the Métis here operated York boats and dog teams. The community was a key sturgeon fishing ca"
"Thomas Métis Settlement","Road Allowance Community","1930s","156","A road allowance community outside of The Pas named for the founding family. It was represented by the Northern Halfbreed Association starting in the "
"Tin Town","Road Allowance Community","1930s","144","A road allowance community south of Rooster Town in Winnipeg. It was built from scrap metal and tin by destitute families during the Depression."
"Tokyo at Crescent Lake","Settlement","Historic","174","A Métis community located near Crescent Lake in Saskatchewan. It is listed as one of the many dispersed settlements that formed after the migrations o"
"Totogan","Settlement (Abandoned)","1870s","195","A settlement at the junction of Rat Creek and Whitemud River. Its name means "low | swampy land." It was once touted as the "New Chicago" before extrem"
"Turtle Mountain","Settlement","Oral tradition / approximate","216","A favorite wintering spot with abundant game. Turtle Mountain House was established in 1846 and operated by Antoine Desjarlais until 1855. It was a si"
"Turtle Mountain (and Turtle Mountain House)","Landmark / Settlement","1846 (Post)","216","A favorite wintering spot with abundant game. Turtle Mountain House was established in 1846 and operated by Antoine Desjarlais until 1855. It was a si"
"Umphreville or Humphreville (Settlement)","Road Allowance Community","1900s","185","A road allowance community northeast of The Pas named for its patriarch | John Umphreville. The family was connected to a vast kinship network extendin"
"Upper Athabasca","Settlement Hub","Historic","232","This region's history is characterized as an Upper Athabasca Ethnohistory | involving the Snare | Snake | and Iroquois-Métis people. It was a key area fo"
"Upper Fort Garry","Fort / administrative center","1822","122","Network of narrow river lots extending north | home to hunters and farmers. Lots extended two miles east and west of river."
"Wabowden","Settlement","Late 1800s","182","Originally located at Setting Lake on the Grass River route | it relocated to Bowden Lake with the railway in the 1920s. It remains a major center for "
"Waterhen River (Rivière de la Poule d'Eau)","Transportation Route","Historic","175","The primary outflow for Lake Winnipegosis into Lake Manitoba. It was a vital transportation route used by Métis and Saulteaux hunters to move between "
"Wekusko (Herb) Lake","Settlement (Mining town)","1914","153","A mining supply center developed after gold was discovered in gold-bearing quartz in 1914. Former MMF President Ed Head worked here as a diamond-drill"
"Wheat City","Settlement","1820s","175","A Métis community in Charleswood dating to the 1820s | located near a buffalo crossing. Families like the Branconniers and Morrissettes worked as harve"
"Whiskey Flats","Road Allowance Community","Early 1900s","350","A Métis road allowance community in Alberta | part of a network of informal settlements where displaced Métis families lived after losing their land. K"
"White Mud River","Settlement","Oral tradition / approximate","147","First named "White Mud River Settlement" after the color of the clay on its banks. It was a hunter's village with a small church and burial ground."
"White Mud River Settlement (Rat Creek and Totogan)","Settlement (Abandoned)","Historic","147","First named "White Mud River Settlement" after the color of the clay on its banks. It was a hunter's village with a small church and burial ground."
"Whiteway Point","Trading Post (Outpost)","Pre-1859","128","A point on the narrows of Lake Winnipeg named after the HBC official in charge of the post. It is now called West Doghead Point."
"Williams County","Settlement","Historic","350","A Métis community in northwestern North Dakota along the Montana border. Families here had land holdings and kinship ties that spanned the Canada-US b"
"Willow Bunch","Settlement / Wintering site","Historic","241","A vital hivernant (wintering) community in Saskatchewan. It was a major destination for Métis families after the 1870 and 1885 Resistance movements. H"
"Willow Flats","Road Allowance Community","Early 1900s","184","A Métis road allowance community located in the Northwest Territories. It is part of the extensive northern network of Métis settlements characterized"
"Winnipeg-St. Boniface","Parish / Settlement Hub","1818","350","The historic heart of the Red River Métis Homeland | this area served as the administrative | religious | and political center. St. Boniface was named by"
"Winnipegosis","Settlement","1741 (Fort)","166","Named for the Cree word meaning "Little Muddy Water." It was the site of the 1741 Fort Dauphin and later a major center for the 20th-century timber an"
"York Factory","Fort / Trading Post","1684","146","The central base of operations for the HBC fur trade for centuries. It featured a massive octagonal star fort designed to withstand naval attacks."
"Young Point Settlement","Road Allowance Community","1950s (Census)","165","A road allowance community south of The Pas in the Pasquia Settlement named for Josiah Young. It was excluded from town boundaries | denying residents "
